image_id,source_item,pass_index,augmentation_seed,target_slot,difficulty,outside,assigned,query_id,score,bbox_iou,target_index,representative_error_px,full_error_px,error_delta_px,representative_error_x_px,representative_error_y_px,full_error_x_px,full_error_y_px,target_offset_norm_px,predicted_offset_norm_px,offset_error_px,offset_cosine,improved
47,22,2,8004,0,Easy,False,True,49,0.9346402883529663,0.8642988329428001,0,1.8586973688851665,1.8568679238760029,-0.0018294450091635994,1.1073684692382812,1.4928131103515625,1.1045287907472812,1.492640156611742,0.0,0.0028449405843297376,0.0028449405843297376,nan,True
47,22,2,8004,1,Hard,True,False,-1,nan,nan,1,,,,,,,,,,,,
47,22,2,8004,2,Easy,False,True,47,0.5277870297431946,0.9207299335432214,2,4.10345141767785,3.7635048907942905,-0.33994652688355975,3.2015609741210938,2.5667724609375,2.7122319489717484,2.609169775620103,0.0,0.49116232260415127,0.49116232260415127,nan,True
47,22,2,8004,3,Moderate,False,False,-1,nan,nan,3,,,,,,,,,,,,
47,22,2,8004,4,Easy,False,True,16,0.936711847782135,0.8503836043092463,4,3.4810992589392966,3.4837778769966548,0.0026786180573581397,3.2000350952148438,1.3703384399414062,3.202874773705844,1.3705113936812268,0.0,0.0028449405843297376,0.0028449405843297376,nan,False
47,22,2,8004,6,Moderate,False,False,-1,nan,nan,5,,,,,,,,,,,,
47,22,2,8004,7,Moderate,False,True,21,0.2637813687324524,0.7016680355686856,6,4.635299291806959,8.381607333869878,3.7463080420629193,3.9807796478271484,2.3747406005859375,7.397925853729248,3.939801335334778,0.0,11.485832751463969,11.485832751463969,nan,False
47,22,2,8004,8,Hard,False,False,-1,nan,nan,7,,,,,,,,,,,,
47,22,4,15542,0,Easy,False,True,28,0.942348062992096,0.8936369331618391,0,1.59212866909508,1.5906724292731542,-0.0014562398219257755,0.7313919067382812,1.4141921997070312,0.7285522282472812,1.4140192459672107,0.0,0.0028449405843297376,0.0028449405843297376,nan,True
47,22,4,15542,1,Hard,True,False,-1,nan,nan,1,,,,,,,,,,,,
47,22,4,15542,2,Easy,False,True,29,0.23980189859867096,0.9363482381359781,2,3.537522669334153,4.7009525443329805,1.1634298749988274,1.6986274719238281,3.1030197143554688,2.5764480233192444,3.9320313334465027,0.0,4.354713624868545,4.354713624868545,nan,False
47,22,4,15542,3,Moderate,False,False,-1,nan,nan,3,,,,,,,,,,,,
47,22,4,15542,4,Easy,False,True,16,0.9411218762397766,0.8499792807447586,4,3.504837175887515,3.5070787519905724,0.002241576103057419,2.6246261596679688,2.3227615356445312,2.627465838158969,2.3229344893843518,0.0,0.0028449405843297376,0.0028449405843297376,nan,False
47,22,4,15542,6,Moderate,False,False,-1,nan,nan,5,,,,,,,,,,,,
47,22,4,15542,7,Moderate,False,False,-1,nan,nan,6,,,,,,,,,,,,
47,22,4,15542,8,Hard,False,False,-1,nan,nan,7,,,,,,,,,,,,
47,22,19,72077,0,Easy,False,True,49,0.9244953989982605,0.888404785355513,0,1.6766094596790002,1.6764227596381407,-0.00018670004085952208,0.0095367431640625,1.6765823364257812,0.006697064673062414,1.6764093826859607,0.0,0.0028449405843297376,0.0028449405843297376,nan,True
47,22,19,72077,1,Hard,True,False,-1,nan,nan,1,,,,,,,,,,,,
47,22,19,72077,2,Easy,False,True,47,0.3113833963871002,0.9319573210507776,2,3.9060805673678245,3.4348003430950387,-0.4712802242727858,2.659473419189453,2.8608856201171875,0.3257201611995697,3.4193215370178223,0.0,2.3996364188066175,2.3996364188066175,nan,True
47,22,19,72077,3,Moderate,False,False,-1,nan,nan,3,,,,,,,,,,,,
47,22,19,72077,4,Easy,False,True,16,0.932280421257019,0.8470039544648181,4,3.197422631139538,3.199875513133656,0.0024528819941180835,2.6528167724609375,1.7849578857421875,2.6556564509519376,1.785130839482008,0.0,0.0028449405843297376,0.0028449405843297376,nan,False
47,22,19,72077,6,Moderate,False,False,-1,nan,nan,5,,,,,,,,,,,,
47,22,19,72077,7,Moderate,False,True,21,0.3038025498390198,0.697255519432568,6,5.357470031870736,6.120292929399219,0.7628228975284834,5.216736793518066,1.2198944091796875,5.487722158432007,2.7097769379615784,0.0,10.807645044298669,10.807645044298669,nan,False
47,22,19,72077,8,Hard,False,False,-1,nan,nan,7,,,,,,,,,,,,
102,43,4,15563,2,Moderate,True,False,-1,nan,nan,0,,,,,,,,,,,,
134,56,1,4269,0,Easy,False,True,34,0.9301117658615112,0.9258851117132241,0,3.2924674728787093,3.2951113085888877,0.002643835710178344,3.1278228759765625,1.02813720703125,3.1306625544675626,1.0279642532914295,0.0,0.0028449405843297376,0.0028449405843297376,nan,False
134,56,1,4269,13,Hard,True,False,-1,nan,nan,1,,,,,,,,,,,,
134,56,1,4269,14,Moderate,False,False,-1,nan,nan,2,,,,,,,,,,,,
181,76,13,49517,0,Hard,False,True,13,0.308445543050766,0.8687683478241559,0,8.933220703466526,8.933434930468515,0.00021422700198847622,0.12847900390625,8.932296752929688,0.13131868239725009,8.932469706669508,0.0,0.0028449405843297376,0.0028449405843297376,nan,False
181,76,13,49517,1,Moderate,True,True,11,0.4634428322315216,0.0,1,437.3252854318122,437.3224953327815,-0.002790099030676174,433.2968330383301,59.22212219238281,433.2939933598391,59.22229514612263,22.65818349545569,0.0028449405843297376,22.65534800191378,0.996679769597055,True
181,76,13,49517,2,Moderate,False,True,0,0.9506171345710754,0.9128849236811972,2,5.9225101464691,5.919714757724921,-0.0027953887441789504,5.741748809814453,1.4520492553710938,5.738909131323453,1.4518763016312732,0.0,0.0028449405843297376,0.0028449405843297376,nan,True
181,76,13,49517,3,Hard,False,True,47,0.9060729146003723,0.7692240290964407,3,19.771557216738106,19.768806543645958,-0.0027506730921480482,19.387989044189453,3.8756103515625,19.385149365698453,3.8757833053023205,0.0,0.0028449405843297376,0.0028449405843297376,nan,True
181,76,13,49517,4,Hard,False,True,29,0.2591504454612732,0.47463123924464934,4,47.03600564365035,47.03321379179831,-0.0027918518520380076,46.622772216796875,6.221168518066406,46.619932538305875,6.221341471806227,0.0,0.0028449405843297376,0.0028449405843297376,nan,True
181,76,13,49517,5,Moderate,False,True,25,0.9224042296409607,0.8940619375444006,5,4.598272199727839,4.5993908094910685,0.0011186097632291947,1.5464019775390625,4.3304443359375,1.5492416560300626,4.3306172896773205,0.0,0.0028449405843297376,0.0028449405843297376,nan,False
181,76,13,49517,6,Easy,False,True,28,0.9053615927696228,0.9060730128536646,6,3.445043043016949,3.446853484915889,0.001810441898939974,2.0258331298828125,2.7864532470703125,2.0286728083738126,2.786626200810133,0.0,0.0028449405843297376,0.0028449405843297376,nan,False
181,76,13,49517,7,Hard,False,True,15,0.95039302110672,0.6728061857260494,7,7.9395110104125255,7.941308060799877,0.001797050387351895,4.630756378173828,6.449180603027344,4.633596056664828,6.449353556767164,0.0,0.0028449405843297376,0.0028449405843297376,nan,False
181,76,13,49517,11,Hard,False,True,34,0.2645009160041809,0.8086826098607568,8,2.9318214072727224,2.9297876293485645,-0.0020337779241579312,2.2172927856445312,1.918121337890625,2.214453107153531,1.9182942916304455,0.0,0.0028449405843297376,0.0028449405843297376,nan,True
373,182,3,11933,0,Hard,True,True,47,0.31168103218078613,0.0,0,228.78237824822298,228.77956829770625,-0.002809950516734716,227.72529125213623,21.967437744140625,227.72245157364523,21.967610697880446,36.53702253044548,0.0028449405843297376,36.53417762421391,0.9999879259064545,True
373,182,3,11933,1,Hard,False,True,21,0.452840119600296,0.8401264527283028,1,12.71690094531242,12.719589217928828,0.0026882726164085824,11.741175651550293,4.8851165771484375,11.744015330041293,4.885289530888258,0.0,0.0028449405843297376,0.0028449405843297376,nan,False
